,query,answer
14,[w:0-10]喊[@you:call_you][w:0-10]我[w:0-10]怎么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
15,[w:0-10]喊[@you:call_you][w:0-10]怎么[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
16,[w:0-10]怎么[w:0-10]我[w:0-10]喊[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
17,[w:0-10]怎么[w:0-10]喊[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
18,[w:0-10]我[w:0-10]喊[@you:call_you][w:0-10]怎样[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
19,[w:0-10]我[w:0-10]怎样[w:0-10]喊[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
20,[w:0-10]喊[@you:call_you][w:0-10]我[w:0-10]怎样[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
21,[w:0-10]喊[@you:call_you][w:0-10]怎样[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
22,[w:0-10]怎样[w:0-10]我[w:0-10]喊[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
23,[w:0-10]怎样[w:0-10]喊[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
24,[w:0-10]我[w:0-10]叫[@you:call_you][w:0-10]什么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
25,[w:0-10]我[w:0-10]什么[w:0-10]叫[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
26,[w:0-10]叫[@you:call_you][w:0-10]我[w:0-10]什么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
27,[w:0-10]叫[@you:call_you][w:0-10]什么[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
28,[w:0-10]什么[w:0-10]我[w:0-10]叫[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
29,[w:0-10]什么[w:0-10]叫[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
30,[w:0-10]我[w:0-10]叫[@you:call_you][w:0-10]怎么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
31,[w:0-10]我[w:0-10]怎么[w:0-10]叫[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
32,[w:0-10]叫[@you:call_you][w:0-10]我[w:0-10]怎么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
33,[w:0-10]叫[@you:call_you][w:0-10]怎么[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
34,[w:0-10]怎么[w:0-10]我[w:0-10]叫[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
35,[w:0-10]怎么[w:0-10]叫[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
36,[w:0-10]我[w:0-10]叫[@you:call_you][w:0-10]怎样[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
37,[w:0-10]我[w:0-10]怎样[w:0-10]叫[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
38,[w:0-10]叫[@you:call_you][w:0-10]我[w:0-10]怎样[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
39,[w:0-10]叫[@you:call_you][w:0-10]怎样[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
40,[w:0-10]怎样[w:0-10]我[w:0-10]叫[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
41,[w:0-10]怎样[w:0-10]叫[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
42,[w:0-10]我[w:0-10]称呼[@you:call_you][w:0-10]什么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
43,[w:0-10]我[w:0-10]什么[w:0-10]称呼[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
44,[w:0-10]称呼[@you:call_you][w:0-10]我[w:0-10]什么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
45,[w:0-10]称呼[@you:call_you][w:0-10]什么[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
46,[w:0-10]什么[w:0-10]我[w:0-10]称呼[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
47,[w:0-10]什么[w:0-10]称呼[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
48,[w:0-10]我[w:0-10]称呼[@you:call_you][w:0-10]怎么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
49,[w:0-10]我[w:0-10]怎么[w:0-10]称呼[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
50,[w:0-10]称呼[@you:call_you][w:0-10]我[w:0-10]怎么[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
51,[w:0-10]称呼[@you:call_you][w:0-10]怎么[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
52,[w:0-10]怎么[w:0-10]我[w:0-10]称呼[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
53,[w:0-10]怎么[w:0-10]称呼[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
54,[w:0-10]我[w:0-10]称呼[@you:call_you][w:0-10]怎样[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
55,[w:0-10]我[w:0-10]怎样[w:0-10]称呼[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
56,[w:0-10]称呼[@you:call_you][w:0-10]我[w:0-10]怎样[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
57,[w:0-10]称呼[@you:call_you][w:0-10]怎样[w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
58,[w:0-10]怎样[w:0-10]我[w:0-10]称呼[@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
59,[w:0-10]怎样[w:0-10]称呼[@you:call_you][w:0-10]我[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
60,[w:0-10][@you:call_you][w:0-10]名字[w:0-10]是[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
61,[w:0-10][@you:call_you][w:0-10]是[w:0-10]名字[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
62,[w:0-10]名字[w:0-10][@you:call_you][w:0-10]是[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
63,[w:0-10]名字[w:0-10]是[w:0-10][@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
64,[w:0-10]是[w:0-10][@you:call_you][w:0-10]名字[w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
65,[w:0-10]是[w:0-10]名字[w:0-10][@you:call_you][w:0-10],"你叫我鹿晗就好，说“hi,鹿晗”就能把我唤醒"
66,[w:0-10]hi[w:0-10]鹿晗[w:0-10],hi，我在。
67,[w:0-10]鹿晗[w:0-10]hi[w:0-10],hi，我在。
68,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]哪[w:0-10],我是在北京海淀区出生的
69,[w:0-10][@you:call_you][w:0-10]哪[w:0-10]出生[w:0-10],我是在北京海淀区出生的
70,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]哪[w:0-10],我是在北京海淀区出生的
71,[w:0-10]出生[w:0-10]哪[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
72,[w:0-10]哪[w:0-10][@you:call_you][w:0-10]出生[w:0-10],我是在北京海淀区出生的
73,[w:0-10]哪[w:0-10]出生[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
74,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]什么地方[w:0-10],我是在北京海淀区出生的
75,[w:0-10][@you:call_you][w:0-10]什么地方[w:0-10]出生[w:0-10],我是在北京海淀区出生的
76,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]什么地方[w:0-10],我是在北京海淀区出生的
77,[w:0-10]出生[w:0-10]什么地方[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
78,[w:0-10]什么地方[w:0-10][@you:call_you][w:0-10]出生[w:0-10],我是在北京海淀区出生的
79,[w:0-10]什么地方[w:0-10]出生[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
80,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]什么城市[w:0-10],我是在北京海淀区出生的
81,[w:0-10][@you:call_you][w:0-10]什么城市[w:0-10]出生[w:0-10],我是在北京海淀区出生的
82,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]什么城市[w:0-10],我是在北京海淀区出生的
83,[w:0-10]出生[w:0-10]什么城市[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
84,[w:0-10]什么城市[w:0-10][@you:call_you][w:0-10]出生[w:0-10],我是在北京海淀区出生的
85,[w:0-10]什么城市[w:0-10]出生[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
86,[w:0-10][@you:call_you][w:0-10]生在[w:0-10]哪[w:0-10],我是在北京海淀区出生的
87,[w:0-10][@you:call_you][w:0-10]哪[w:0-10]生在[w:0-10],我是在北京海淀区出生的
88,[w:0-10]生在[w:0-10][@you:call_you][w:0-10]哪[w:0-10],我是在北京海淀区出生的
89,[w:0-10]生在[w:0-10]哪[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
90,[w:0-10]哪[w:0-10][@you:call_you][w:0-10]生在[w:0-10],我是在北京海淀区出生的
91,[w:0-10]哪[w:0-10]生在[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
92,[w:0-10][@you:call_you][w:0-10]生在[w:0-10]什么地方[w:0-10],我是在北京海淀区出生的
93,[w:0-10][@you:call_you][w:0-10]什么地方[w:0-10]生在[w:0-10],我是在北京海淀区出生的
94,[w:0-10]生在[w:0-10][@you:call_you][w:0-10]什么地方[w:0-10],我是在北京海淀区出生的
95,[w:0-10]生在[w:0-10]什么地方[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
96,[w:0-10]什么地方[w:0-10][@you:call_you][w:0-10]生在[w:0-10],我是在北京海淀区出生的
97,[w:0-10]什么地方[w:0-10]生在[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
98,[w:0-10][@you:call_you][w:0-10]生在[w:0-10]什么城市[w:0-10],我是在北京海淀区出生的
99,[w:0-10][@you:call_you][w:0-10]什么城市[w:0-10]生在[w:0-10],我是在北京海淀区出生的
100,[w:0-10]生在[w:0-10][@you:call_you][w:0-10]什么城市[w:0-10],我是在北京海淀区出生的
101,[w:0-10]生在[w:0-10]什么城市[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
102,[w:0-10]什么城市[w:0-10][@you:call_you][w:0-10]生在[w:0-10],我是在北京海淀区出生的
103,[w:0-10]什么城市[w:0-10]生在[w:0-10][@you:call_you][w:0-10],我是在北京海淀区出生的
104,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]生日[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
105,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]什么[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
106,[w:0-10][@you:call_you][w:0-10]生日[w:0-10]时候[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
107,[w:0-10][@you:call_you][w:0-10]生日[w:0-10]什么[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
108,[w:0-10][@you:call_you][w:0-10]什么[w:0-10]时候[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
109,[w:0-10][@you:call_you][w:0-10]什么[w:0-10]生日[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
110,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]生日[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
111,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]什么[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
112,[w:0-10]时候[w:0-10]生日[w:0-10][@you:call_you][w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
113,[w:0-10]时候[w:0-10]生日[w:0-10]什么[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
114,[w:0-10]时候[w:0-10]什么[w:0-10][@you:call_you][w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
115,[w:0-10]时候[w:0-10]什么[w:0-10]生日[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
116,[w:0-10]生日[w:0-10][@you:call_you][w:0-10]时候[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
117,[w:0-10]生日[w:0-10][@you:call_you][w:0-10]什么[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
118,[w:0-10]生日[w:0-10]时候[w:0-10][@you:call_you][w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
119,[w:0-10]生日[w:0-10]时候[w:0-10]什么[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
120,[w:0-10]生日[w:0-10]什么[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
121,[w:0-10]生日[w:0-10]什么[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
122,[w:0-10]什么[w:0-10][@you:call_you][w:0-10]时候[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
123,[w:0-10]什么[w:0-10][@you:call_you][w:0-10]生日[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
124,[w:0-10]什么[w:0-10]时候[w:0-10][@you:call_you][w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
125,[w:0-10]什么[w:0-10]时候[w:0-10]生日[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
126,[w:0-10]什么[w:0-10]生日[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
127,[w:0-10]什么[w:0-10]生日[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
128,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]生日[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
129,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]哪个[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
130,[w:0-10][@you:call_you][w:0-10]生日[w:0-10]时候[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
131,[w:0-10][@you:call_you][w:0-10]生日[w:0-10]哪个[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
132,[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]时候[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
133,[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]生日[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
134,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]生日[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
135,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
136,[w:0-10]时候[w:0-10]生日[w:0-10][@you:call_you][w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
137,[w:0-10]时候[w:0-10]生日[w:0-10]哪个[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
138,[w:0-10]时候[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
139,[w:0-10]时候[w:0-10]哪个[w:0-10]生日[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
140,[w:0-10]生日[w:0-10][@you:call_you][w:0-10]时候[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
141,[w:0-10]生日[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
142,[w:0-10]生日[w:0-10]时候[w:0-10][@you:call_you][w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
143,[w:0-10]生日[w:0-10]时候[w:0-10]哪个[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
144,[w:0-10]生日[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
145,[w:0-10]生日[w:0-10]哪个[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
146,[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]时候[w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
147,[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]生日[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
148,[w:0-10]哪个[w:0-10]时候[w:0-10][@you:call_you][w:0-10]生日[w:0-10],1990年4月20号是我的生日，白羊座
149,[w:0-10]哪个[w:0-10]时候[w:0-10]生日[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
150,[w:0-10]哪个[w:0-10]生日[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
151,[w:0-10]哪个[w:0-10]生日[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
152,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]出生[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
153,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]什么[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
154,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]时候[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
155,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]什么[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
156,[w:0-10][@you:call_you][w:0-10]什么[w:0-10]时候[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
157,[w:0-10][@you:call_you][w:0-10]什么[w:0-10]出生[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
158,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]出生[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
159,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]什么[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
160,[w:0-10]时候[w:0-10]出生[w:0-10][@you:call_you][w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
161,[w:0-10]时候[w:0-10]出生[w:0-10]什么[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
162,[w:0-10]时候[w:0-10]什么[w:0-10][@you:call_you][w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
163,[w:0-10]时候[w:0-10]什么[w:0-10]出生[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
164,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]时候[w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
165,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]什么[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
166,[w:0-10]出生[w:0-10]时候[w:0-10][@you:call_you][w:0-10]什么[w:0-10],1990年4月20号是我的生日，白羊座
167,[w:0-10]出生[w:0-10]时候[w:0-10]什么[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
168,[w:0-10]出生[w:0-10]什么[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
169,[w:0-10]出生[w:0-10]什么[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
170,[w:0-10]什么[w:0-10][@you:call_you][w:0-10]时候[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
171,[w:0-10]什么[w:0-10][@you:call_you][w:0-10]出生[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
172,[w:0-10]什么[w:0-10]时候[w:0-10][@you:call_you][w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
173,[w:0-10]什么[w:0-10]时候[w:0-10]出生[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
174,[w:0-10]什么[w:0-10]出生[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
175,[w:0-10]什么[w:0-10]出生[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
176,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]出生[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
177,[w:0-10][@you:call_you][w:0-10]时候[w:0-10]哪个[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
178,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]时候[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
179,[w:0-10][@you:call_you][w:0-10]出生[w:0-10]哪个[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
180,[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]时候[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
181,[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]出生[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
182,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]出生[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
183,[w:0-10]时候[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
184,[w:0-10]时候[w:0-10]出生[w:0-10][@you:call_you][w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
185,[w:0-10]时候[w:0-10]出生[w:0-10]哪个[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
186,[w:0-10]时候[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
187,[w:0-10]时候[w:0-10]哪个[w:0-10]出生[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
188,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]时候[w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
189,[w:0-10]出生[w:0-10][@you:call_you][w:0-10]哪个[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
190,[w:0-10]出生[w:0-10]时候[w:0-10][@you:call_you][w:0-10]哪个[w:0-10],1990年4月20号是我的生日，白羊座
191,[w:0-10]出生[w:0-10]时候[w:0-10]哪个[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
192,[w:0-10]出生[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
193,[w:0-10]出生[w:0-10]哪个[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
194,[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]时候[w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
195,[w:0-10]哪个[w:0-10][@you:call_you][w:0-10]出生[w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
196,[w:0-10]哪个[w:0-10]时候[w:0-10][@you:call_you][w:0-10]出生[w:0-10],1990年4月20号是我的生日，白羊座
197,[w:0-10]哪个[w:0-10]时候[w:0-10]出生[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
198,[w:0-10]哪个[w:0-10]出生[w:0-10][@you:call_you][w:0-10]时候[w:0-10],1990年4月20号是我的生日，白羊座
199,[w:0-10]哪个[w:0-10]出生[w:0-10]时候[w:0-10][@you:call_you][w:0-10],1990年4月20号是我的生日，白羊座
200,[w:0-10][@you:call_you][w:0-10]民族[w:0-10],我是汉族
201,[w:0-10]民族[w:0-10][@you:call_you][w:0-10],我是汉族
202,[w:0-10]白羊[w:0-10]特点[w:0-10],"黄道十二星座 之第一宫,位于双鱼座 之东,金牛座 之西,出生日期为阳历 3月21日 ~4月20日。白羊座充满了正义感,总是生机勃勃。具有在任何领域都能成为领导者的领导风范,但在方法上总有些操之过急或行动跟不上口号,不能细致地考虑到周围人的感受,有时会遭到意想不到的失败。这会使老天所赐予的天赋从此偃旗息鼓,难有用武之地。"
